  Mid_Edge_x   Mid_Edge_y   Num u      Num_u - Exact_u    Num v      Num_v - Exact_v
      0.3750       0.7500       0.4083      -0.0292      -0.0042      -0.0042
      0.3750       0.8750       0.2306      -0.0038      -0.0153      -0.0153
      0.3750       1.0000       0.0000       0.0000       0.0000       0.0000
      0.5000      -0.8750       0.2503       0.0159      -0.0114      -0.0114
      0.6250      -1.0000       0.0000       0.0000       0.0000       0.0000
      0.6250      -0.8750       0.2337      -0.0007      -0.0097      -0.0097
      0.5000      -0.6250       0.6088      -0.0005      -0.0088      -0.0088
      0.6250      -0.7500       0.4134      -0.0241       0.0070       0.0070
      0.6250      -0.6250       0.5931      -0.0163      -0.0062      -0.0062
      0.5000      -0.3750       0.8502      -0.0092      -0.0094      -0.0094
      0.6250      -0.5000       0.7146      -0.0354       0.0095       0.0095
      0.6250      -0.3750       0.8360      -0.0233      -0.0066      -0.0066
      0.5000      -0.1250       0.9707      -0.0137      -0.0124      -0.0124
      0.6250      -0.2500       0.8969      -0.0406       0.0076       0.0076
      0.6250      -0.1250       0.9578      -0.0266      -0.0099      -0.0099
      0.5000       0.1250       0.9686      -0.0158      -0.0164      -0.0164
      0.6250       0.0000       0.9571      -0.0429       0.0031       0.0031
      0.6250       0.1250       0.9564      -0.0280      -0.0146      -0.0146
      0.5000       0.3750       0.8439      -0.0155      -0.0196      -0.0196
      0.6250       0.2500       0.8940      -0.0435      -0.0024      -0.0024
      0.6250       0.3750       0.8316      -0.0277      -0.0189      -0.0189
      0.5000       0.6250       0.5991      -0.0103      -0.0197      -0.0197
      0.6250       0.5000       0.7087      -0.0413      -0.0067      -0.0067
      0.6250       0.6250       0.5857      -0.0237      -0.0200      -0.0200
      0.5000       0.8750       0.2416       0.0073      -0.0150      -0.0150
      0.6250       0.7500       0.4063      -0.0312      -0.0065      -0.0065
      0.6250       0.8750       0.2269      -0.0075      -0.0147      -0.0147
      0.6250       1.0000       0.0000       0.0000       0.0000       0.0000
      0.7500      -0.8750       0.2433       0.0090      -0.0066      -0.0066
      0.8750      -1.0000       0.0000       0.0000       0.0000       0.0000
      0.8750      -0.8750       0.2256      -0.0088      -0.0036      -0.0036
      0.7500      -0.6250       0.6063      -0.0031      -0.0032      -0.0032
      0.8750      -0.7500       0.4077      -0.0298       0.0142       0.0142
      0.8750      -0.6250       0.5899      -0.0195      -0.0001      -0.0001
      0.7500      -0.3750       0.8521      -0.0073      -0.0036      -0.0036
      0.8750      -0.5000       0.7135      -0.0365       0.0163       0.0163
      0.8750      -0.3750       0.8372      -0.0222      -0.0007      -0.0007
      0.7500      -0.1250       0.9753      -0.0091      -0.0066      -0.0066
      0.8750      -0.2500       0.8994      -0.0381       0.0142       0.0142
      0.8750      -0.1250       0.9617      -0.0227      -0.0033      -0.0033
