  Mid_Edge_x   Mid_Edge_y   Num u      Num_u - Exact_u    Num v      Num_v - Exact_v
      0.3069       0.1661       0.0148      -0.0001      -0.0079      -0.0000
      0.2826       0.2541       0.0189      -0.0000      -0.0170      -0.0001
      0.3139       0.2228       0.0204      -0.0001      -0.0144      -0.0000
      0.2872       0.3127       0.0234      -0.0000      -0.0259      -0.0002
      0.3196       0.2805       0.0261      -0.0002      -0.0229      -0.0000
      0.2904       0.3726       0.0277      -0.0001      -0.0365      -0.0002
      0.3239       0.3395       0.0316      -0.0002      -0.0335      -0.0000
      0.2920       0.4337       0.0315      -0.0001      -0.0489      -0.0002
      0.3265       0.3998       0.0367      -0.0002      -0.0460      -0.0000
      0.2920       0.4962       0.0346      -0.0001      -0.0627      -0.0002
      0.3274       0.4615       0.0410      -0.0002      -0.0604       0.0000
      0.2904       0.5601       0.0368      -0.0001      -0.0777      -0.0002
      0.3265       0.5248       0.0444      -0.0002      -0.0762       0.0000
      0.2872       0.6252       0.0380      -0.0001      -0.0933      -0.0003
      0.3239       0.5895       0.0466      -0.0002      -0.0932       0.0000
      0.2826       0.6916       0.0381      -0.0001      -0.1092      -0.0003
      0.3196       0.6555       0.0475      -0.0002      -0.1108       0.0000
      0.2768       0.7589       0.0372      -0.0001      -0.1248      -0.0003
      0.3139       0.7228       0.0471      -0.0002      -0.1285       0.0000
      0.2699       0.8272       0.0353      -0.0001      -0.1395      -0.0003
      0.3069       0.7911       0.0454      -0.0002      -0.1456       0.0001
      0.2623       0.8960       0.0327      -0.0001      -0.1530      -0.0003
      0.2989       0.8603       0.0427      -0.0002      -0.1616       0.0001
      0.2541       0.9653       0.0295      -0.0001      -0.1648      -0.0003
      0.2903       0.9300       0.0391      -0.0002      -0.1761       0.0001
      0.2459       1.0347       0.0260      -0.0000      -0.1748      -0.0003
      0.2813       1.0000       0.0349      -0.0002      -0.1887       0.0001
      0.2377       1.1040       0.0223      -0.0000      -0.1828      -0.0003
      0.2722       1.0700       0.0303      -0.0001      -0.1992       0.0001
      0.2301       1.1728       0.0186      -0.0000      -0.1890      -0.0003
      0.2636       1.1397       0.0256      -0.0001      -0.2075       0.0001
      0.2232       1.2411       0.0150       0.0000      -0.1935      -0.0003
      0.2556       1.2089       0.0211      -0.0001      -0.2138       0.0001
      0.2174       1.3084       0.0117       0.0000      -0.1967      -0.0002
      0.2486       1.2772       0.0167      -0.0001      -0.2184       0.0002
      0.2128       1.3748       0.0086       0.0000      -0.1988      -0.0002
      0.2429       1.3445       0.0126      -0.0001      -0.2215       0.0002
      0.2096       1.4399       0.0057       0.0000      -0.2003      -0.0002
      0.2386       1.4105       0.0087      -0.0001      -0.2236       0.0002
      0.2080       1.5038       0.0029       0.0001      -0.2014      -0.0002
      0.2360       1.4752       0.0052      -0.0000      -0.2251       0.0002
      0.2080       1.5663       0.0003       0.0001      -0.2023      -0.0002
      0.2351       1.5385       0.0017      -0.0000      -0.2261       0.0002
      0.2096       1.6274      -0.0024       0.0001      -0.2031      -0.0002
      0.2360       1.6002      -0.0016       0.0000      -0.2270       0.0001
      0.2128       1.6873      -0.0050       0.0001      -0.2039      -0.0003
      0.2386       1.6605      -0.0049       0.0000      -0.2277       0.0001
      0.2174       1.7459      -0.0079       0.0001      -0.2045      -0.0003
      0.2429       1.7195      -0.0084       0.0001      -0.2282       0.0001
      0.2232       1.8036      -0.0109       0.0001      -0.2047      -0.0003
      0.2486       1.7772      -0.0120       0.0001      -0.2284       0.0001
